TimeStep,Context,qd_norm,tau_actual_norm,tau_planned_norm,p_norm,r_norm,residual_raw,residual_clipped,EWMA_Fast,EWMA_Slow,EWMA_Delta,Threshold,Attack_Flag
242,0,3.26551,290.797,41.7976,2.06878,259.847,259.847,100,0,0,0,0,0
243,0,3.13869,276.455,41.826,2.06414,233.403,233.403,100,0,0,0,0,0
244,0,2.98851,296.256,41.8453,2.1908,249.782,249.782,100,0,0,0,0,0
245,0,1.76934,293.741,41.8847,2.10421,264.669,264.669,100,0,0,0,0,0
246,0,3.19475,292.057,41.9168,2.1098,273.366,273.366,100,0,0,0,0,0
247,0,3.26797,243.79,41.9455,2.1204,230.089,230.089,100,0,0,0,0,0
248,0,3.20387,294.408,41.961,2.11061,254.37,254.37,100,0,0,0,0,0
249,0,3.19551,294.78,41.9797,2.13636,270.628,270.628,100,0,0,0,0,0
250,0,3.20189,296.528,41.9962,2.14591,284.133,284.133,100,0,0,0,0,0
251,0,1.4514,248.057,42.0017,2.12726,237.465,237.465,100,0,0,0,0,0
252,0,3.16,299.095,42.0103,2.12543,258.408,258.408,100,0,0,0,0,0
253,0,1.59934,256.475,42.015,2.12202,238.826,238.826,100,0,0,0,0,0
254,0,3.27624,300.286,42.0247,2.20226,256.515,256.515,100,0,0,0,0,0
255,0,2.95232,288.286,42.0345,2.16391,251.227,251.227,100,0,0,0,0,0
256,0,3.27365,250.373,42.0395,2.19263,240.521,240.521,100,0,0,0,0,0
257,0,3.17062,256.28,42.044,2.17116,244.571,244.571,100,0,0,0,0,0
258,0,1.29196,264.317,42.0463,2.15381,249.987,249.987,100,0,0,0,0,0
259,0,3.1959,269.415,42.0451,2.16614,246.779,246.779,100,0,0,0,0,0
260,0,3.53195,292.066,42.0416,2.22714,258.865,258.865,100,0,0,0,0,0
261,0,3.48216,279.31,42.0356,2.15401,272.113,272.113,100,0,0,0,0,0
262,0,3.46195,310.871,42.0284,2.17917,253.391,253.391,100,0,0,0,0,0
263,0,2.96294,260.179,42.0234,2.23181,244.375,244.375,100,0,0,0,0,0
264,0,3.4893,318.35,42.0178,2.16464,264.455,264.455,100,0,0,0,0,0
265,0,4.11359,263.656,42.0012,2.25527,250.352,250.352,100,0,0,0,0,0
266,0,3.06326,285.676,41.9974,2.29649,241.48,241.48,100,0,0,0,0,0
267,0,3.60074,286.405,41.9784,2.10117,253.797,253.797,100,0,0,0,0,0
268,0,2.46555,275.541,41.9589,1.99375,257.649,257.649,100,0,0,0,0,0
269,0,2.34234,322.209,41.9427,2.07397,266.506,266.506,100,0,0,0,0,0
270,0,3.1329,262.819,41.9156,2.17996,246.071,246.071,100,0,0,0,0,0
271,0,3.48542,328.11,41.8854,2.06825,275.279,275.279,100,0,0,0,0,0
272,0,2.16378,289.128,41.852,2.0614,254.868,254.868,100,0,0,0,0,0
273,0,3.10428,257.11,41.8279,2.18658,251.344,251.344,100,0,0,0,0,0
274,0,1.78089,308.221,41.7891,2.07929,267.374,267.374,100,0,0,0,0,0
275,0,3.07739,270.892,41.7614,2.15538,261.591,261.591,100,0,0,0,0,0
276,0,3.24974,290.335,41.7471,2.15909,262.644,262.644,100,0,0,0,0,0
277,0,1.2947,271.74,41.7223,2.21246,255.986,255.986,100,0,0,0,0,0
278,0,3.07987,283.327,41.7017,2.16007,260.447,260.447,100,0,0,0,0,0
279,0,3.256,281.843,41.6642,2.17502,263.38,263.38,100,0,0,0,0,0
280,0,3.01736,332.895,41.6362,2.23028,274.717,274.717,100,0,0,0,0,0
281,0,3.38066,310.817,41.619,2.1901,267.746,267.746,100,0,0,0,0,0
282,0,3.09168,285.255,41.5833,2.19053,268.027,268.027,100,0,0,0,0,0
283,0,3.28591,325.492,41.5075,2.23245,275.147,275.147,100,0,0,0,0,0
284,0,3.1153,281.79,41.4469,2.22207,265.542,265.542,100,0,0,0,0,0
285,0,3.18047,333.629,41.4046,2.27293,284.11,284.11,100,0,0,0,0,0
286,0,2.98888,354.018,41.3459,2.2446,311.532,311.532,100,0,0,0,0,0
287,0,2.99827,303.558,41.3078,2.27849,268.686,268.686,100,0,0,0,0,0
288,0,3.40299,334.501,41.2448,2.31014,285.588,285.588,100,0,0,0,0,0
289,0,3.2404,327.935,41.1875,2.39304,275.437,275.437,100,0,0,0,0,0
290,0,3.33449,340.485,41.1368,2.09079,284.529,284.529,100,0,0,0,0,0
291,0,2.90155,323.696,41.0846,2.07286,279.165,279.165,100,0,0,0,0,0
292,0,3.32085,343.122,41.0399,2.22215,301.909,301.909,100,0,0,0,0,0
293,0,3.43151,336.457,41.0034,2.26721,277.739,277.739,100,0,0,0,0,0
294,0,3.42896,342.087,40.9189,2.20433,300.796,300.796,100,0,0,0,0,0
295,0,3.08976,310.888,40.8109,2.21974,297.96,297.96,100,0,0,0,0,0
296,0,2.87307,303.872,40.7084,2.25621,295.034,295.034,100,0,0,0,0,0
297,0,3.11751,298.32,40.6448,2.25149,278.158,278.158,100,0,0,0,0,0
298,0,1.8579,351.59,40.5578,2.33476,296.839,296.839,100,0,0,0,0,0
299,0,2.52838,298.457,40.4907,2.35442,290.694,290.694,100,0,0,0,0,0
300,0,3.38855,343.006,40.4105,2.40312,294.42,294.42,100,0,0,0,0,0
301,0,2.28729,299.045,40.3755,2.4947,277.89,277.89,100,0,0,0,0,0
302,0,3.87988,382.092,40.2682,2.36951,314.569,314.569,100,0,0,0,0,0
303,0,3.8541,394.654,40.2317,2.27664,333.752,333.752,100,0,0,0,0,0
304,0,3.34078,320.55,40.1072,2.42694,287.75,287.75,100,0,0,0,0,0
305,0,3.34548,323.975,40.0305,2.53169,285.99,285.99,100,0,0,0,0,0
306,0,2.51488,305.907,39.9258,2.51512,298.159,298.159,100,0,0,0,0,0
307,0,3.04462,355.225,39.7775,2.27711,303.367,303.367,100,0,0,0,0,0
308,0,1.68751,326.164,39.6381,2.3304,286.615,286.615,100,0,0,0,0,0
309,0,1.85939,316.195,39.5091,2.36469,293.471,293.471,100,0,0,0,0,0
310,0,3.39397,323.668,39.4212,2.40535,299.215,299.215,100,0,0,0,0,0
311,0,3.2895,330.763,39.3467,2.4424,306.585,306.585,100,0,0,0,0,0
312,0,3.04907,354.969,39.2101,2.43552,298.395,298.395,100,0,0,0,0,0
313,0,3.37182,320.801,39.1792,2.45384,292.077,292.077,100,0,0,0,0,0
314,0,3.17583,355.629,39.0542,2.46666,302.517,302.517,100,0,0,0,0,0
315,0,3.18708,320.427,39.0066,2.486,292.427,292.427,100,0,0,0,0,0
316,0,3.10264,305.533,38.9103,2.4752,293.971,293.971,100,0,0,0,0,0
